province,district,crop_livestock,hazard,vc_stage,impact,freq,severity,percentage,count,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1. Input,Excess demand for new/improved/tolerant varieties,14,Major (30-50% loss in income),77.77777778,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1. Input,Poor quality seed,5,Major (30-50% loss in income),27.77777778,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1. Input,Farmers unable to repay loans,2,Major (30-50% loss in income),11.11111111,18,,,,,,,,,1
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1. Input,Increased price of inputs,2,Major (30-50% loss in income),11.11111111,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1. Input,Damage to nurseries/input store,1,Major (30-50% loss in income),5.555555556,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1. Input,Reduced access to extension services,1,Major (30-50% loss in income),5.555555556,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),1. Input,"Trouble accessing inputs (fertilizer, pesticides, seeds, feeds)",1,Major (30-50% loss in income),5.555555556,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Loss of on-farm income,17,Major (30-50% loss in income),94.44444444,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Need to use more inputs,7,Major (30-50% loss in income),38.88888889,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Crops/livestock die or are damaged causing low yields,6,Major (30-50% loss in income),33.33333333,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Loss of alternative income sources,2,Major (30-50% loss in income),11.11111111,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,More weeds,2,Major (30-50% loss in income),11.11111111,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Cant work in the field,1,Major (30-50% loss in income),5.555555556,18,,,,,,,,,1
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),2. On-farm,Damage to irrigation system,1,Major (30-50% loss in income),5.555555556,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Low quality produce for processing,14,Major (30-50% loss in income),77.77777778,18,,,,,,,,,1
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increase in post-harvest losses,13,Major (30-50% loss in income),72.22222222,18,,,,,,,,,
