province,district,crop,csa,adoption,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,productivity,adaptation,mitigation,hazard,hazard_1,hazard_2,hazard_3,barrier_1,b1_exp,barrier_2,b2_exp,name,contact,source,Ranking,Order,CSA Category
Punjab,Muzaffargarh,Cotton,Community based seed quality management,Adopted 60%,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote community-based seed systems, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,1,1,Community based seed quality management
Punjab,Muzaffargarh,Cotton,Laser land levelling,Adopted 30%,Water,Carbon,Yield Income,Soil & Nutrient,Plant Animal health,,"Improve yields by 12-20% [3, 5]
Increases yields and germination rates [2]
","30-50% reduction in the use of irrigation water [4, 5]
Reducing water requirement in drought prone areas 
Reduces water logging and salinity by upto 42% [4]
","Reduce energy use by 31% [3]
Improved fertiliser use efficiency 15-35% [4]
",Drought,salinization,,,Economic,Higher costs for production,Market,Not enough service providers,Nam Nguyen,,link,2.5,3,Laser land levelling
Punjab,Muzaffargarh,Cotton,ridge sowing/raised bed planting,Adopted 30%,Water,Yield Income,Plant Animal health,Soil & Nutrient,,,"Increased crop productivity by 20-30% [3]
Increased net profits of 22% compared to conventional production [4]
Decreases cost of digging tubewells by 40% [2, 3]
20-25% less seed required [3]","Water saving up to 30-50% [1,2]
Reduced water stress
Reduced crop lodging 
Better drainige during heavy rains","Higher nutrient use efficiency, reducing fertilizer requirement",Drought,Heavy rains,Pest & Disease,,Training & Info,Farmers lack information on the benefits,Labour,Labour intensive,Nam Nguyen,,link,4,4,Ridge sowing/ Raised bed planting
Punjab,Muzaffargarh,Cotton,Intergrated Soil Fertility Management (ISFM),Want to adopt,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,5,5,Intergrated Soil Fertility Management (ISFM)
Punjab,Muzaffargarh,Cotton,"Crop Rotation (Rice, maize, oil seed)",Adopted > 60%,Soil & Nutrient,Biodiversity,Plant Animal health,Yield Income,Carbon,Water,Crop rotation increases total production and productivity per unit area of land. Harvests of multiple crops from this system increase farmer’s income and food security.,This practice reduces the risk of total crop failure due to diversification of crops under climatic shocks. Improves soil fertility. Rotating crops maintains soil fertility and minimizes the incidence of pests and diseases.,"The practice of crop rotation helps to protect soil structure, increases soil organic matter and organic carbon reserves. Leguminous species integration reduces the need of synthetic fertilizers. When combined with nitrogen fixation species (leguminous) reduces the use of nitrogen-based synthetic fertilizers.",Pest & Disease,Drought,High temps,Flooding,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,6,6,Crop Rotation
Punjab,Muzaffargarh,Cotton,Composting,Adopted 30-60 %,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,7,7,Composting
Punjab,Muzaffargarh,Cotton,"IPM (Biocontrols, Phermone traps)",Adopted < 30%,Plant Animal health,Yield Income,Pollution,Biodiversity,Landscapes,,"Reduces losses from pests, improves yields [2]
Reduces cost of pesticide purchase [1,2], doses of pesticide chemicals can be largely reduced (up to 41 percent) on IPM-trained farms [4]
Maintains or increases the cost-effectiveness of pest management programs [1]","Builds resilience of plants to pests [1]
Protects beneficial non-target species [1]
Lower impact on surrounding landscape supports greater biodversity [3]","Reduces the potential for air and ground water contamination [1]
Reduces exposure of workers to pesticides [1]",Pest & Disease,,,,Training & Info,Farmers lack information on the benefits,Market,Cannot access equipment,Nam Nguyen,,link,2.5,2,Integrated Pest Management (IPM)
Punjab,Muzaffargarh,Cotton,"Irrigation practices (Drip, Sprinkler, Regulated deficit)",Adopted > 60%,Water,Carbon,Plant Animal health,Yield Income,,,"Plants receive exact water requirement,
improving productivity and quality. 
Improves or maintains yield per unit of
water","Improved water use efficiency, reducing
requirement in times of drought.
In combination with standardized irrigation
designs/schemes leads to water use
efficiency reducing the water demand in
drought prone areas. Minimizes erosion.","Reduced pumping costs due to precision
application
Reduces energy requirements for irrigation
hence associated GHG emissions per unit
of produce.",Drought,Pest & Disease,,,Economic,Higher costs for production,,,Nam Nguyen,,link,8,8,"Irrigation practices (Drip, Sprinkler, Regulated deficit)"
Punjab,Muzaffargarh,Mango,Intergrated Soil Fertility Management (ISFM) (Fodder crops),Adopted < 30%,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,4,4,Intergrated Soil Fertility Management (ISFM)
Punjab,Muzaffargarh,Mango,Composting,Adopted < 30%,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,2,2,Composting
