province,district,adoption,type,name,description,rank
KP,Chitral,Not adopted,Info & Advisory,Early warning,"With weather conditions becoming increasingly uncertain, both in terms of timing and intensity, the presence of early warning systems is vital for farmers to adequately prepare and mitigate agricultural losses. The effectiveness of these systems depends on the capacity of hydro-meterological offices to produce adequate data, and agricultural extension systems effectively translating and delivering them to end-users in a targeted manner.",4.5
KP,Chitral,Not adopted,Finance,Index based insurance,"Index based insurance is a new insurance paradigm, where payouts are linked to a measured index comprised of environmental conditions and variables that directly relate to losses in agricultural production. When the index exceeds a specific threshold, farmers receive a payout for their estimated losses. In rainfed areas of Pakistan, where there is large unpredictability in precipitation, this type of insurance scheme can be especially relevant, and may promote the adoption of higher-value crops due to reduced production risks for farmers. ",4.5
KP,Chitral,Not adopted,Finance,Group based revolving funds,"Limited access to agricultural credit undermines the economic development of rural economies.  Group-based revolving funds allow for resource accumulation at community level, and can be important credit and grant schemes to allow farmers access to capital. These funds can also incentivize savings habit to enhance individual financial capacity. The use of these funds can be not only for production purposes but also to meet emergency needs like health care and education. ",4.5
KP,Chitral,Not adopted,Finance,Savings & Credit groups,"Many small farmers and share croppers struggle to meet the criteria for accessing formal credit markets, and are left exposed to high interest rates of the informal sector. The formation of community savings and credit groups has been found to be an effective means for communities to improve their access to finance, through the pooling of their financial resources to provide concessional loans. ",4.5
KP,Chitral,Not adopted,Gender & Youth,Formation of woman’s groups,"Women producers face many challenges whilst participating in agricultural production, such as cultural and social discrimination, which can prevent them from the access to capital, finance, education and new technologies. While woman play a critical role on farms, they are often seen doing the less skilled tasks for little to no remuneration. The establishment of woman’s groups would help women organize themselves, sharing knowledge and advice on agricultural and non-agricultural issues, and increase their social and economic status. ",4.5
KP,Chitral,Adopted,Gender & Youth,Equal access to education & finance,"Equal access to education and finance is directly linked to the empowerment of women through the creation of economic opportunities and enhanced family welfare. In Pakistan, women farmers face a shortage of information, with only 5% of agricultural extension services being specifically targeted towards women. While access to finance for women has increased by 5.7 million people from 2008 to 2015, there is still 57% of women who remain financially excluded from formal financial services. ",4.5
KP,Chitral,Not adopted,Gender & Youth,Integration of gender issues into FFS Curriculum,"Farmer field schools are a training approach that is participatory in nature, utilized by agricultural extension systems to train farmers on improved agricultural techniques and technologies. Incorporation of gender issues within this curriculum will help to empower women to take part in the decision-making processes, and improve equality in access to and control of capital for economic development.",4.5
KP,Chitral,Want to adopt,Labour,Vocational courses,"In order to improve the capacity of the agricultural workforce and create more opportunities for skilled labour in farming areas, there is a need for vocational courses to provide training on advanced farming and processing methods. This is particularly important considering the extent to which the youth are migrating away from farming areas in search of alternative livelihoods. Current training through polytechnics and apprenticeship programs is perceived to not offer clear career pathways. A more skilled workforce would support the growth of the agriculture sector and facilitate the establishment of rural enterprises. ",4.5
KP,Chitral,Want to adopt,Market,Provision of high quality/ improved seed/Breed,"In Pakistan, only a small portion of seed demand is met by the private sector. A majority of farmers receive seeds from the informal sector, whether through seed exchanges with other farmers, using seeds from the previous season or buying uncertified seeds from input providers. Further research and provision of high-quality seeds and breeds will ensure quality produce—more resilient to pests, diseases and climatic conditions—thus enhancing income for farmers.",9
KP,Chitral,Want to adopt,Inst & Org,Agricultural research services,"Agricultural research services play an important role in improving the understanding of risks at a farm level and identifying contextually specific interventions. However, agricultural research spending relative to agricultural GDP in Pakistan is the lowest in South Asia. Research has shown that the current Pakistan agricultural research system will need to leverage five to six times the funding, compared to present levels to be optimally funded.",10
