OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,site,cropping,climate,impacts,risk,practices,enablers
1,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,1,Bagh,District,District,NA,NA,0,0,0,0,0,0,0
2,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,2,Bhimber,District,District,NA,NA,0,0,0,0,0,0,0
3,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,3,Kotli,District,District,NA,NA,0,0,0,0,0,0,0
4,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,4,Mirpur,District,District,NA,NA,0,0,0,0,0,0,0
5,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,5,Muzaffarabad,District,District,NA,NA,0,0,0,0,0,0,0
6,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,6,Neelum,District,District,NA,NA,0,0,0,0,0,0,0
7,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,7,Poonch,District,District,NA,NA,0,0,0,0,0,0,0
8,171,PAK,Pakistan,1,Azad Kashmir,Azad Kashmir,1,Azad Kashmir,8,Sudhnati,District,District,NA,NA,0,0,0,0,0,0,0
9,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,9,Awaran,District,District,NA,NA,0,0,0,0,0,0,0
10,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,10,Disputed Area 1,District,District,NA,NA,0,0,0,0,0,0,0
11,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,11,Disputed Area 2,District,District,NA,NA,0,0,0,0,0,0,0
12,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,12,Kalat,District,District,NA,NA,0,0,0,0,0,0,0
13,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,13,Kharan,District,District,NA,NA,0,0,0,0,0,0,0
14,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,14,Khuzdar,District,District,NA,NA,0,0,0,0,0,0,0
15,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,15,Lasbela,District,District,NA,NA,0,0,0,0,0,0,0
16,171,PAK,Pakistan,2,Baluchistan,Baluchistan,2,Kalat,16,Mastung,District,District,NA,Mustung,0,0,0,0,0,0,0
17,171,PAK,Pakistan,2,Baluchistan,Baluchistan,3,Makran,17,Gwadar,District,District,NA,NA,0,0,0,0,0,0,0
18,171,PAK,Pakistan,2,Baluchistan,Baluchistan,3,Makran,18,Kech,District,District,NA,NA,0,0,0,0,0,0,0
19,171,PAK,Pakistan,2,Baluchistan,Baluchistan,3,Makran,19,Panjgur,District,District,NA,NA,0,0,0,0,0,0,0
20,171,PAK,Pakistan,2,Baluchistan,Baluchistan,4,Nasirabad,20,Bolan,District,District,NA,NA,0,0,0,0,0,0,0
21,171,PAK,Pakistan,2,Baluchistan,Baluchistan,4,Nasirabad,21,Jafarabad,District,District,NA,Nasir Abad,0,0,0,0,0,0,0
22,171,PAK,Pakistan,2,Baluchistan,Baluchistan,4,Nasirabad,22,Jhal Magsi,District,District,NA,NA,0,0,0,0,0,0,0
23,171,PAK,Pakistan,2,Baluchistan,Baluchistan,4,Nasirabad,23,Nasirabad,District,District,NA,Nasir Abad,0,0,0,0,0,0,0
24,171,PAK,Pakistan,2,Baluchistan,Baluchistan,5,Quetta,24,Chagai,District,District,NA,NA,0,0,0,0,0,0,0
25,171,PAK,Pakistan,2,Baluchistan,Baluchistan,5,Quetta,25,Pishin,District,District,NA,NA,0,0,0,0,0,0,0
26,171,PAK,Pakistan,2,Baluchistan,Baluchistan,5,Quetta,26,Qilla Abdullah,District,District,NA,NA,0,0,0,0,0,0,0
27,171,PAK,Pakistan,2,Baluchistan,Baluchistan,5,Quetta,27,Quetta,District,District,NA,NA,0,0,0,0,0,0,0
28,171,PAK,Pakistan,2,Baluchistan,Baluchistan,6,Sibi,28,Dera Bugti,District,District,NA,NA,0,0,0,0,0,0,0
29,171,PAK,Pakistan,2,Baluchistan,Baluchistan,6,Sibi,29,Kholu,District,District,NA,NA,0,0,0,0,0,0,0
30,171,PAK,Pakistan,2,Baluchistan,Baluchistan,6,Sibi,30,Sibi,District,District,NA,NA,0,0,0,0,0,0,0
31,171,PAK,Pakistan,2,Baluchistan,Baluchistan,6,Sibi,31,Ziarat,District,District,NA,NA,0,0,0,0,0,0,0
32,171,PAK,Pakistan,2,Baluchistan,Baluchistan,7,Zhob,32,Barkhan,District,District,NA,NA,0,0,0,0,0,0,0
33,171,PAK,Pakistan,2,Baluchistan,Baluchistan,7,Zhob,33,Loralai,District,District,NA,NA,0,0,0,0,0,0,0
34,171,PAK,Pakistan,2,Baluchistan,Baluchistan,7,Zhob,34,Musakhel,District,District,NA,NA,0,0,0,0,0,0,0
35,171,PAK,Pakistan,2,Baluchistan,Baluchistan,7,Zhob,35,Qilla Saifullah,District,District,NA,NA,0,0,0,0,0,0,0
36,171,PAK,Pakistan,2,Baluchistan,Baluchistan,7,Zhob,36,Zhob,District,District,NA,NA,0,0,0,0,0,0,0
37,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,37,Bajaur,District,District,NA,NA,0,0,0,0,0,0,0
38,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,38,Khyber,District,District,NA,NA,0,0,0,0,0,0,0
39,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,39,Kurram,District,District,NA,NA,1,1,1,1,1,1,0
40,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,40,Largha Shirani,District,District,NA,NA,0,0,0,0,0,0,0
41,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,41,Mohmand,District,District,NA,NA,0,0,0,0,0,0,0
42,171,PAK,Pakistan,3,KP,KP,8,F.A.T.A.,42,N. Waziristan,District,District,NA,North Waziristan,1,1,0,1,1,1,0
